,Title,Genre,Developer,Publisher,Release date JP,Release date EU,Release date NA,Addons
1480,Mars Horizon,"Strategy
simulation",Auroch Digital,The Irregular Corporation,Unreleased,"Nov 17, 2020","Nov 17, 2020",
1481,Mary Skelter 2,Action role-playing,Compile Heart,Idea Factory,"Jul 12, 2018",Unreleased,Unreleased,
1482,Mary Skelter Finale,Action role-playing,Compile Heart,Idea Factory,"Nov 5, 2020",Unreleased,Unreleased,
1483,Masquerada: Songs and Shadows,Tactical role-playing,Witching Hour Studios,Ysbryd Games,Unreleased,"Aug 8, 2017","Aug 8, 2017",
1484,Mass Effect: Andromeda,Action role-playing,BioWare,Electronic Arts,Unreleased,"Mar 23, 2017","Mar 21, 2017",P
1485,Mass Effect: Legendary Edition,Action role-playing,BioWare,Electronic Arts,Unreleased,2021,2021,
1486,Masters of Anima,Real-time strategy,Passtech Games,Focus Home Interactive,Unreleased,"Apr 10, 2018","Apr 10, 2018",P
1487,Matterfall,Action,Housemarque,Sony Computer Entertainment,"Aug 17, 2017","Aug 16, 2017","Aug 15, 2017",P
1488,Max: The Curse of Brotherhood,"Platform
puzzle",Press Play,Wired Productions,Unreleased,"Nov 10, 2017","Nov 10, 2017",
1489,Mayhem Brawler,Beat 'em up,Hero Concept,Hero Concept,Unreleased,2021,2021,
1490,McDroid,Tower defense,Grip Games,Grip Games,Unreleased,"Mar 1, 2016","Mar 1, 2016",
1491,"<span data-sort-value=""Mean Greens !"">The Mean Greens - Plastic Warfare",Third-person shooter,Virtual Basement,Code Headquarters,Unreleased,"Aug 5, 2020","Aug 5, 2020",
1492,MediEvil,Hack & slash,Other Ocean Interactive,Sony Computer Interactive,"Oct 25, 2019","Oct 25, 2019","Oct 25, 2019",P
1493,Mega Coin Squad,Platform,Big Pixel Studios,Adult Swim Games,Unreleased,"Jan 26, 2016","Oct 27, 2015",
1494,Mega Man 11,Platform,Capcom,Capcom,"Oct 4, 2018","Oct 2, 2018","Oct 2, 2018",P
1495,Mega Man Legacy Collection,"Action
platform",Digital Eclipse,Capcom,"May 26, 2016","Aug 25, 2015","Aug 25, 2015",
1496,Mega Man Legacy Collection 2,"Action
platform",Digital Eclipse,Capcom,"Aug 8, 2017","Aug 8, 2017","Aug 8, 2017",
1497,Mega Man X Legacy Collection,"Action
platform",Capcom,Capcom,"Jul 26, 2018","Jul 24, 2018","Jul 24, 2018",
1498,Mega Man X Legacy Collection 2,"Action
platform",Capcom,Capcom,"Jul 26, 2018","Jul 24, 2018","Jul 24, 2018",
1499,Mega Man Zero/ZX Legacy Collection,"Action
platform",Capcom,Capcom,"Feb 25, 2020","Feb 25, 2020","Feb 25, 2020",
1500,Megadimension Neptunia VII,Role-playing,Compile Heart,Idea Factory,"Apr 23, 2015","Feb 12, 2016","Feb 2, 2016",
1501,Mega Mall Story,Business simulation,Kairosoft,Kairosoft,"May 14, 2020",Unreleased,Unreleased,
1502,Megaquarium,Business simulation,Twice Circled,Auroch Digital,"Dec 12, 2019","Oct 18, 2019","Oct 18, 2019",
1503,Megaton Rainfall,Action-adventure,Alfonso del Cerro,Pentadimensional,Unreleased,"Oct 17, 2017","Oct 17, 2017",VR
1504,Megaton Musashi,"Action role-playing
mech-combat",Level-5,Level-5,TBA,Unreleased,Unreleased,
1505,Mekazoo,Platform,The Good Mood Creators,The Good Mood Creators,Unreleased,"Dec 14, 2016","Nov 15, 2016",3D
1506,Melbits World,Puzzle-platform,Melbot Studios,Melbot Studios,"Oct 10, 2019","Feb 5, 2019","Nov 14, 2018",PL
1507,Memories Off Historia Vol. 1,Visual novel,Mages,Mages,"Mar 25, 2021",Unreleased,Unreleased,
1508,Memories Off Historia Vol. 2,Visual novel,Mages,Mages,"Mar 25, 2021",Unreleased,Unreleased,
1509,Memories Off: Innocent Fille,Visual novel,Mages,Mages,"Mar 28, 2018",Unreleased,Unreleased,
1510,Mercenaries Blaze: Dawn of the Twin Dragons,Role-playing,Rideon,Rideon,"Oct 1, 2020",Unreleased,Unreleased,
1511,Mercenary Kings,Action,Tribute Games,Tribute Games,"Jan 26, 2017","Feb 6, 2018","Apr 1, 2014",
1512,The Messenger,"Action
platform",Sabotage Studio,Devolver Digital,"Mar 20, 2019","Mar 19, 2019","Mar 19, 2019",
1513,Metal Gear Solid V: Ground Zeroes,"Action-adventure
stealth",Kojima Productions,Konami,"Mar 20, 2014","Mar 20, 2014","Mar 18, 2014",
1514,Metal Gear Solid V: The Phantom Pain,"Action-adventure
stealth",Kojima Productions,Konami,"Sep 2, 2015","Sep 1, 2015","Sep 1, 2015",P
1515,Metal Gear Survive,"Action-adventure
stealth",Konami,Konami,"Feb 21, 2018","Feb 22, 2018","Feb 20, 2018",
1516,Metal: Hellsinger,"First-person shooter
rhythm",The Outsiders,Funcom,Unreleased,2021,2021,
1517,Metal Max: Code Zero,Role-playing,Kadokawa Games,Kadokawa Games,TBA,Unreleased,Unreleased,
1518,Metal Max Xeno,Role-playing,Kadokawa Games,Kadokawa Games,"Apr 19, 2018","Sep 28, 2018","Sep 25, 2018",P
1519,Metal Max Xeno Reborn,Role-playing,Kadokawa Games,Kadokawa Games,"Sep 10, 2020",Unreleased,Unreleased,
1520,Metal Max Xeno Reborn 2,Role-playing,Kadokawa Games,Kadokawa Games,TBA,Unreleased,Unreleased,
1521,Metal Slug 3,Run and gun,SNK,SNK,"May 14, 2015","Apr 29, 2015","Mar 24, 2015",CP
1522,Metal Revolution,Fighting,Next Studios,Next Studios,Unreleased,TBA,TBA,
1523,Metal Wolf Chaos XD,Third-person shooter,FromSoftware,Devolver Digital,"Aug 6, 2019","Aug 6, 2019","Aug 6, 2019",
1524,Metallic Child,"Action
roguelike",Studio HG,Crest,2021,2021,2021,
1525,Metamorphosis,Puzzle platformer,Ovid Works,All In! Games,"Nov 4, 2020","Aug 12, 2020","Aug 12, 2020",P
1526,Metaverse Keeper,Dungeon crawler,Sparks Games,Sparks Games,Unreleased,TBA,TBA,
1527,Metrico+,"Platform
puzzle",Digital Dreams,Digital Dreams,"Aug 24, 2016","Aug 23, 2016","Aug 23, 2016",
1528,Metro Exodus,First-person shooter,4A Games,Deep Silver,"Feb 22, 2019","Feb 22, 2019","Feb 22, 2019",P
1529,Metro 2033 Redux,First-person shooter,4A Games,Deep Silver,"Oct 30, 2014","Aug 29, 2014","Aug 26, 2014",
1530,Metro: Last Light Redux,First-person shooter,4A Games,Deep Silver,"Oct 30, 2014","Aug 29, 2014","Aug 26, 2014",
1531,The Metronomicon: Slay the Dance Floor,Music,Puuba,Akupara Games,"Oct 13, 2017","Aug 29, 2017","Aug 29, 2017",
1532,Mhakna Gramura and Fairy Bell,Visual novel,Alice in Dissonance,Phoenixx,Unreleased,TBA,TBA,
1533,Micro Machines World Series,Racing,Codemasters,Koch Media,Unreleased,"Apr 21, 2017","Apr 21, 2017",
1534,Middle-earth: Shadow of Mordor,Action-adventure,Monolith Productions,WB Games,"Dec 25, 2014","Oct 3, 2014","Sep 30, 2014",P
1535,Middle-earth: Shadow of War,Action-adventure,Monolith Productions,WB Games,"Oct 10, 2017","Oct 10, 2017","Oct 10, 2017",P
1536,Miegakure,"Platform
puzzle",Marc Ten Bosch,Marc Ten Bosch,Unreleased,TBA,TBA,
1537,Mighty Goose,Run 'n gun,"Blastmode
MP2 Games",Playism,2021,2021,2021,
1538,Mighty Morphin Power Rangers: Mega Battle,"Action, fighting",Bandai Namco,Bandai Namco,"Jan 17, 2017","Jan 17, 2017","Jan 17, 2017",
1539,Mighty No. 9,"Action
platform","Comcept, Inti Creates",Deep Silver,"Jun 21, 2016","Jun 24, 2016","Jun 21, 2016",
1540,Mighty Switch Force! Collection,"Action
platform",WayForward,WayForward,Unreleased,"Jul 25, 2019","Jul 30, 2019",
1541,Miles & Kilo,Platform,Four Horses,Four Horses,"Dec 25, 2019","Oct 29, 2019","Oct 29, 2019",
1542,Minecraft: Bedrock Edition,"Sandbox
survival",Mojang,Sony Interactive Entertainment,"Dec 10, 2019","Dec 10, 2019","Dec 10, 2019",CP P VR
1543,Minecraft Dungeons,Dungeon crawler,Mojang,Sony Interactive Entertainment,"May 28, 2020","May 28, 2020","May 28, 2020",
1544,Minecraft: PlayStation 4 Edition,"Sandbox
survival",4J Studios,Sony Interactive Entertainment,"Sep 4, 2014","Sep 4, 2014","Sep 4, 2014",
1545,Minecraft: Story Mode,Graphic adventure,Telltale Games,Telltale Games,"Oct 13, 2015","Oct 13, 2015","Oct 13, 2015",
1546,Minecraft: Story Mode - Season 2,Graphic adventure,Telltale Games,Telltale Games,"Jul 11, 2017","Jul 11, 2017","Jul 11, 2017",
1547,Mini Metro,"Puzzle
strategy",Dinosaur Polo Club,Dinosaur Polo Club,Unreleased,"Sep 10, 2019","Sep 10, 2019",
1548,Mini Motor Racing X,"Racing
vehicular combat",The Binary Mill,NextGen Reality,"Dec 24, 2019","Dec 17, 2019","Dec 17, 2019",P VR
1549,Minoria,Action platformer,Bombservice,Dangen Entertainment,"Sep 10, 2020","Sep 10, 2020","Sep 10, 2020",
1550,Minotaur Arcade Volume 1,Arcade,Llamasoft,Llamasoft,Unreleased,"Oct 10, 2019","Oct 21, 2019",
1551,Minutes,"Action
puzzle",Red Phantom Games,Red Phantom Games,Unreleased,"Nov 5, 2014","Feb 10, 2015",
1552,Mirror's Edge Catalyst,"Action-adv, platform",EA DICE,Electronic Arts,"Jun 9, 2016","Jun 9, 2016","Jun 7, 2016",
1553,Mistover,"Role-playing
turn-based",Krafton Game Union,Krafton Game Union,"Oct 10, 2019","Oct 10, 2019","Oct 10, 2019",
1554,Mistover: Dr. Faust's Otherworldly Adventure,"Role-playing
turn-based",Krafton Game Union,Krafton Game Union,"Mar 12, 2020",Unreleased,Unreleased,
1555,MLB 14: The Show,Sports,SCE San Diego Studio,Sony Computer Entertainment,"May 6, 2014","May 6, 2014","May 6, 2014",
1556,MLB 15: The Show,Sports,SCE San Diego Studio,Sony Computer Entertainment,"Apr 9, 2015","Apr 1, 2015","Mar 31, 2015",
1557,MLB The Show 16,Sports,SCE San Diego Studio,Sony Computer Entertainment,"Mar 30, 2016","Mar 29, 2016","Mar 29, 2016",
1558,MLB The Show 17,Sports,SCE San Diego Studio,Sony Interactive Entertainment,"Mar 28, 2017","Mar 28, 2017","Mar 28, 2017",P
1559,MLB The Show 18,Sports,SCE San Diego Studio,Sony Interactive Entertainment,"Mar 27, 2018","Mar 27, 2018","Mar 27, 2018",P
1560,MLB The Show 19,Sports,SCE San Diego Studio,Sony Interactive Entertainment,"Mar 26, 2019","Mar 26, 2019","Mar 26, 2019",P
1561,MLB The Show 20,Sports,SCE San Diego Studio,Sony Computer Entertainment,"Mar 17, 2020","Mar 17, 2020","Mar 17, 2020",P
1562,Mobile Suit Gundam Extreme Vs. Maxiboost ON,Action,Bandai Namco Entertainment,Bandai Namco Entertainment,"Jul 30, 2020","Jul 30, 2020","Jul 30, 2020",
1563,Modern Tales: Age of Invention,"Puzzle
hidden object",Orchid Games,Artifex Mundi,Unreleased,"Apr 2, 2019","Apr 2, 2019",
1564,Momodora: Reverie Under the Moonlight,Metroidvania,Bombservice,Playism,"Mar 16, 2017","Mar 16, 2017","Mar 16, 2017",
1565,Monkey King: Hero is Back,Action,Hexa Drive,Oasis Games,"Oct 17, 2019","Oct 17, 2019","Oct 17, 2019",
1566,Monopoly Deal,"Board game, party",Asobo Studios,Ubisoft,Unreleased,"Nov 18, 2014","Nov 18, 2014",
1567,Monopoly Plus,"Board game, party",Asobo Studios,Ubisoft,Unreleased,"Nov 26, 2014","Nov 26, 2014",
1568,Monster Boy and the Cursed Kingdom,Platform,The Game Atelier,FDG Entertainment,"Aug 6, 2020","Dec 4, 2018","Dec 4, 2018",
1569,Monster Energy Supercross,Racing,Milestone srl,"NA: Square Enix
EU: Milestone srl","Feb 13, 2018","Feb 13, 2018","Feb 13, 2018",P
1570,Monster Energy Supercross 2,Racing,Milestone srl,Milestone srl,Unreleased,"Feb 8, 2019","Feb 5, 2019",P
1571,Monster Energy Supercross 3,Racing,Milestone srl,Milestone srl,Unreleased,"Feb 4, 2020","Feb 4, 2020",
1572,Monster Harvest,"Action role-playing
farming",Maple Powered Games,Merge Games,TBA,TBA,TBA,
1573,Monster Hunter: World,Action role-playing,Capcom,Capcom,"Jan 26, 2018","Jan 26, 2018","Jan 26, 2018",P
1574,Monster Sanctuary,"Role-playing
Metroidvania",Moi Rai Games,Team17,Unreleased,"Dec 8, 2020","Dec 8, 2020",
1575,Monster Truck Championship,"Racing
simulation",Teyon,Nacon,Unreleased,"Oct 15, 2020","Oct 20, 2020",P
1576,Moon Hunters,Role-playing,Kitfox Games,Kitfox Games,"Feb 9, 2017","Jul 12, 2016","Jul 19, 2016",
1577,Moonlighter,Action role-playing,Digital Sun Games,"JP: Teyon
WW: Digital Sun Games","Nov 22, 2019","May 29, 2018","May 29, 2018",
1578,Moons of Madness,Horror,Rock Pocket Games,Funcom,"Mar 24, 2020","Mar 24, 2020","Mar 24, 2020",
1579,Mordheim: City of the Damned,Tactical role-playing,Rogue Factor,Focus Home Interactive,"Oct 18, 2016","Oct 18, 2016","Oct 18, 2016",
1580,Mortal Kombat X,Fighting,NetherRealm Studios,WB Games,"Apr 14, 2015","Apr 14, 2015","Apr 14, 2015",
1581,Mortal Kombat 11,Fighting,NetherRealm Studios,WB Games,Unreleased,"Apr 23, 2019","Apr 23, 2019",CP P
1582,Mortal Shell,Action role-playing,Cold Symmetry,Playstack,"Aug 18, 2020","Aug 18, 2020","Aug 18, 2020",P
1583,Mosaic,Adventure,Krillbite Studio,Raw Fury,"Feb 19, 2020","Feb 11, 2020","Feb 11, 2020",P
1584,Mother Russia Bleeds,Beat 'em up,Le Cartel Studio,Devolver Digital,"Dec 3, 2016","Dec 3, 2016","Dec 3, 2016",P
1585,Mothergunship,First-person shooter,Terrible Posture Games,Grip Digital,Unreleased,"Jul 17, 2018","Jul 17, 2018",
1586,MotoGP 14,Racing,Milestone srl,Milestone srl,Unreleased,"Jun 20, 2014","Nov 4, 2014",
1587,MotoGP 15,Racing,Milestone srl,Milestone srl,"Oct 1, 2015","Jun 24, 2015","Jun 24, 2015",
1588,MotoGP 17,Racing,Milestone srl,Milestone srl,"Jun 15, 2017","Jun 15, 2017","Jun 15, 2017",P
1589,MotoGP 18,Racing,Milestone srl,Milestone srl,"Jun 7, 2018","Jun 7, 2018","Jun 7, 2018",P
1590,MotoGP 19,Racing,Milestone srl,Milestone srl,"Jun 6, 2019","Jun 6, 2019","Jun 6, 2019",P
1591,MotoGP 20,Racing,Milestone srl,Milestone srl,"Aug 27, 2020","Apr 23, 2020","Apr 23, 2020",P
1592,Moto Racer 4,Racing,Artefacts Studio,Microids,"Nov 4, 2016","Nov 4, 2016","Nov 4, 2016",P VR
1593,Motor Strike: Immortal Legends,Vehicular combat,FiveXGames,FiveXGames,Unreleased,"Dec 15, 2016","Dec 16, 2016",CP
1594,Mount & Blade: Warband,Action role-playing,TaleWorlds Entertainment,Koch Media,"Sep 16, 2016","Sep 16, 2016","Sep 16, 2016",P
1595,Mount & Blade II: Bannerlord,Action role-playing,TaleWorlds Entertainment,Koch Media,TBA,TBA,TBA,
1596,MouseCraft,Puzzle,Crunching Koalas,Crunching Koalas,"Feb 3, 2016","Jul 9, 2014","Jul 8, 2014",
1597,Move or Die,Party,Those Awesome Guys,Those Awesome Guys,Unreleased,"Mar 5, 2019","Mar 5, 2019",
1598,Moving Out,"Action
puzzle","DevM Games
SMG Studio",Team17,"Apr 30, 2020","Apr 28, 2020","Apr 28, 2020",
1599,Mowin & Throwin,"Action
party",House Pixel Games,House Pixel Games,Unreleased,Unreleased,"Sep 16, 2019",
1600,Mr. Pumpkin Adventure 2: Kowloon Walled City,Platform,Cotton Game,Cotton Game,TBA,TBA,TBA,
1601,Mugsters,"Action
puzzle",Reinkout Games,Team17,"Nov 1, 2018","Jul 17, 2018","Jul 17, 2018",
1602,Mulaka,Action-adventure,Lienzo,Lienzo,"Nov 29, 2018","Feb 27, 2018","Feb 27, 2018",
1603,The Mummy Demastered,Metroidvania,WayForward Technologies,WayForward Technologies,"Jul 30, 2020","Oct 24, 2017","Oct 24, 2017",
1604,Munchkin: Quacked Quest,Board game,Steve Jackson Games,Asmodee,Unreleased,"Nov 19, 2019","Nov 19, 2019",
1605,Murder Detective: Jack the Ripper,Adventure,Nippon Ichi Software,Nippon Ichi Software,"Apr 25, 2019",Unreleased,Unreleased,
1606,Murdered: Soul Suspect,Action-adventure,Airtight Games,Square Enix,"Jul 17, 2014","Jun 6, 2014","Jun 3, 2014",
1607,Mushroom Heroes,Puzzle platformer,Serkhan Bakar,Hidden Trap,"Jul 30, 2020","Jul 22, 2020","Jul 21, 2020",
1608,Mushroom Wars 2,Real-time strategy,Zillion Whales,Zillion Whales,TBA,TBA,TBA,
1609,Mutant Football League,"Action, sports",Digital Dreams Entertainment,Digital Dreams Entertainment,Unreleased,"Feb 23, 2018","Jan 19, 2018",
1610,Mutant Mudds Deluxe,Platform,Renegade Kid,Renegade Kid,Unreleased,"Nov 30, 2016","Nov 15, 2016",
1611,Mutant Mudds Super Challenge,Platform,Renegade Kid,Renegade Kid,Unreleased,"Aug 3, 2016","Jul 26, 2016",
1612,Mutant Year Zero: Road to Eden,Adventure,The Bearded Ladies,Funcom,"Feb 28, 2019","Dec 4, 2018","Dec 4, 2018",
1613,Mutazione,Adventure,Die Gute Fabrik,Akupara Games,Unreleased,"Sep 19, 2019","Sep 19, 2019",
1614,MX vs. ATV Supercross Encore,Racing,Rainbow Studios,Nordic Games,"Oct 27, 2015","Oct 27, 2015","Oct 27, 2015",
1615,MXGP The Official Motocross Videogame,Racing,Milestone srl,Milestone srl,"Nov 18, 2014","Nov 18, 2014","Nov 18, 2014",
1616,MXGP 2,Racing,Milestone srl,Milestone srl,"Jun 9, 2016","Mar 31, 2016","Mar 31, 2016",
1617,MXGP 3,Racing,Milestone srl,Milestone srl,"Jul 20, 2017","May 30, 2017","May 30, 2017",
1618,MXGP 2019,Racing,Milestone srl,Milestone srl,Unreleased,"Aug 27, 2019","Aug 27, 2019",
1619,MXGP 2020,Racing,Milestone srl,Milestone srl,Unreleased,"Dec 16, 2020","Dec 16, 2020",
1620,MX Nitro,Racing,Saber Interactive,Miniclip Games,Unreleased,"Feb 14, 2017","Feb 14, 2017",
1621,MX Nitro: Unleashed,Racing,Saber Interactive,Mad Dog Games,Unreleased,"Feb 27, 2020","Feb 27, 2020",
1622,My Big Sister,Role-playing,Stranga,Ratalaika Games,Unreleased,"May 8, 2019","May 7, 2019",
1623,My Brother Rabbit,"Puzzle
hidden object",Artifex Mundi,Artifex Mundi,Unreleased,"Sep 21, 2018","Sep 21, 2018",
1624,My Child Lebensborn,Adventure,Sarepta Studio,Sarepta Studio,TBA,TBA,TBA,
1625,My Friend Pedro,Shoot 'em up,DeadToast Entertainment,Devolver Digital,"Apr 10, 2020","Apr 2, 2020","Apr 2, 2020",
1626,My Hero: One's Justice,Fighting,Bandai Namco Entertainment,Bandai Namco Entertainment,"Oct 26, 2018","Oct 26, 2018","Oct 26, 2018",
1627,My Hero: One's Justice 2,Fighting,Bandai Namco Entertainment,Bandai Namco Entertainment,"Mar 12, 2020","Mar 13, 2020","Mar 13, 2020",
1628,My Time at Portia,Role-playing,Pathea Games,Team17,"Apr 16, 2019","Apr 16, 2019","Apr 16, 2019",
1629,My Time at Sandrock,Role-playing,Pathea Games,Pathea Games,2022,2022,2022,
1630,Mystery Chronicle: One Way Heroics,Role-playing,Smoking Wolf,Spike Chunsoft,"Jul 30, 2015","Sep 13, 2016","Sep 13, 2016",
1631,N++,Platform,Metanet Software,Metanet Software,"Jun 27, 2019","Jul 29, 2015","Jul 28, 2015",
1632,Namco Museum Archives Vol. 1,Arcade,B.B. Studio,Bandai Namco Entertainment,"Jun 18, 2020","Jun 18, 2020","Jun 18, 2020",
1633,Namco Museum Archives Vol. 2,Arcade,B.B. Studio,Bandai Namco Entertainment,"Jun 18, 2020","Jun 18, 2020","Jun 18, 2020",
1634,Nano Assault Neo X,Shoot 'em up,Shin'en Multimedia,Shin'en Multimedia,Unreleased,"Oct 29, 2014","Nov 11, 2014",
1635,Narcos: Rise of the Cartels,Turn-based strategy,Kuju Entertainment,Curve Digital,Unreleased,"Nov 19, 2019","Nov 19, 2019",
1636,Naruto: Ultimate Ninja Storm,Fighting,CyberConnect2,Bandai Namco Entertainment,"Jul 27, 2017","Aug 25, 2017","Aug 25, 2017",
1637,Naruto Shippuden: Ultimate Ninja Storm 2,Fighting,CyberConnect2,Bandai Namco Entertainment,"Jul 27, 2017","Aug 25, 2017","Aug 25, 2017",
1638,Naruto Shippuden: Ultimate Ninja Storm 3,Fighting,CyberConnect2,Bandai Namco Entertainment,"Jul 27, 2017","Aug 25, 2017","Aug 25, 2017",
1639,Naruto Shippuden: Ultimate Ninja Storm 4,Fighting,CyberConnect2,Bandai Namco Entertainment,"Feb 4, 2016","Feb 5, 2016","Feb 9, 2016",
1640,NASCAR Heat Evolution,Racing,Monster Games,DM Racing,Unreleased,"Nov 7, 2016","Sep 13, 2016",
1641,NASCAR Heat 2,Racing,Monster Games,704Games,Unreleased,"Sep 13, 2017","Sep 13, 2017",
1642,NASCAR Heat 3,Racing,Monster Games,704Games,Unreleased,"Sep 7, 2018","Sep 7, 2018",
1643,NASCAR Heat 4,Racing,Monster Games,704Games,Unreleased,"Sep 13, 2019","Sep 13, 2019",
1644,NASCAR Heat 5,Racing,Monster Games,704Games,Unreleased,"Jul 7, 2020","Jul 7, 2020",
1645,Natsuki Chronicles,Shoot 'em up,Qute Corporation,Rising Star Games,Unreleased,2020,2020,
1646,Natural Doctrine,Tactical role-playing,Kadokawa Games,Kadokawa Games,"Apr 3, 2014","Oct 3, 2014","Sep 30, 2014",CP
1647,Naught,"2D
platform",WildSphere,WildSphere,Unreleased,"Jul 31, 2020","Jul 31, 2020",
1648,NBA 2K Playgrounds 2,Sports,Saber Interactive,Saber Interactive,"Oct 16, 2018","Oct 16, 2018","Oct 16, 2018",
1649,NBA 2K14,Sports,Visual Concepts,2K Sports,"Feb 22, 2014","Nov 29, 2013","Nov 15, 2013",C
1650,NBA 2K15,Sports,Visual Concepts,2K Sports,"Nov 27, 2014","Oct 10, 2014","Oct 7, 2014",C
1651,NBA 2K16,Sports,Visual Concepts,2K Sports,"Sep 29, 2015","Sep 29, 2015","Sep 29, 2015",C
1652,NBA 2K17,Sports,Visual Concepts,2K Sports,"Sep 20, 2016","Sep 20, 2016","Sep 20, 2016",P
1653,NBA 2K18,Sports,Visual Concepts,2K Sports,"Sep 19, 2017","Sep 19, 2017","Sep 19, 2017",P
1654,NBA 2K19,Sports,Visual Concepts,2K Sports,"Sep 11, 2018","Sep 11, 2018","Sep 11, 2018",P
1655,NBA 2K20,Sports,Visual Concepts,2K Sports,"Sep 6, 2019","Sep 6, 2019","Sep 6, 2019",P
1656,NBA 2K21,Sports,Visual Concepts,2K Sports,"Sep 4, 2020","Sep 4, 2020","Sep 4, 2020",P
1657,NBA Live 14,Sports,EA Tiburon,Electronic Arts,"Nov 22, 2013","Nov 22, 2013","Nov 22, 2013",
1658,NBA Live 15,Sports,EA Tiburon,Electronic Arts,"Oct 31, 2014","Oct 31, 2014","Oct 28, 2014",
1659,NBA Live 16,Sports,EA Tiburon,Electronic Arts,"Aug 29, 2016","Oct 1, 2015","Sep 29, 2015",
1660,NBA Live 18,Sports,EA Tiburon,Electronic Arts,"Oct 3, 2017","Sep 15, 2017","Sep 15, 2017",
1661,NBA Live 19,Sports,EA Tiburon,Electronic Arts,"Sep 7, 2018","Sep 7, 2018","Sep 7, 2018",P
1662,NBA Playgrounds,Sports,Saber Interactive,Saber Interactive,Unreleased,"May 9, 2017","May 9, 2017",
1663,Necrobarista,Visual novel,Route 59,Coconut Island Games,2021,2021,2021,
1664,Necromunda: Underhive Wars,Turn-based strategy,Games Workshop,Focus Home Interactive,"Sep 17, 2020","Sep 8, 2020","Sep 7, 2020",
1665,Necropolis,Action role-playing,Harebrained Schemes,Bandai Namco Entertainment,"Sep 6, 2016","Sep 6, 2016","Sep 6, 2016",
1666,Need for Speed,Racing,Ghost Games,Electronic Arts,"Nov 3, 2015","Nov 3, 2015","Nov 3, 2015",
1667,Need for Speed: Heat,Racing,Ghost Games,Electronic Arts,"Nov 8, 2019","Nov 8, 2019","Nov 8, 2019",CP
1668,Need for Speed: Hot Pursuit Remastered,Racing,Criterion Games,Electronic Arts,"Nov 6, 2020","Nov 6, 2020","Nov 6, 2020",CP P
1669,Need for Speed: Payback,Racing,Ghost Games,Electronic Arts,"Nov 10, 2017","Nov 10, 2017","Nov 10, 2017",P
1670,Need for Speed: Rivals,Racing,Ghost Games,Electronic Arts,"Feb 22, 2014","Nov 29, 2013","Nov 15, 2013",
1671,Nekopara Vol. 1,Visual novel,Neko Works,CFK,"Jul 4, 2018","Aug 23, 2018","Jul 4, 2018",
1672,Nekopara Vol. 2,Visual novel,Neko Works,CFK,"Feb 14, 2019","Feb 14, 2019","Feb 14, 2019",
1673,Nekopara Vol. 3,Visual novel,Neko Works,CFK,"Jun 27, 2019","Jun 27, 2019","Jun 27, 2019",
1674,Nekopara Vol. 4,Visual novel,Neko Works,CFK,"Nov 26, 2020","Nov 26, 2020","Nov 26, 2020",
1675,Nelke & the Legendary Alchemists: Ateliers of the New World,Town-building,Gust Co. Ltd.,Koei Tecmo,"Jan 31, 2019","May 15, 2019","Apr 25, 2019",
1676,Neon Abyss,"Action
roguelite
shooter",Veewo Games,Team17,"Jul 14, 2020","Jul 14, 2020","Jul 14, 2020",
1677,Neon Chrome,Shooter,10tons,10tons,Unreleased,"May 31, 2016","May 31, 2016",P
1678,Neon City Riders,Action-adventure,Mecha Studios,Bromio,Unreleased,Unreleased,"Mar 12, 2020",
1679,Neopolis,Real-time strategy,Omni Systems,Omni Systems,TBA,TBA,TBA,
1680,Nero,"Adventure, puzzle",Storm in a Teacup,Storm in a Teacup,Unreleased,"Jun 24, 2016","Jun 24, 2016",
1681,NeuroVoider,Shooter,Flying Oak Games,Plug In Digital,Unreleased,"Mar 15, 2017","Mar 14, 2017",
1682,Never Alone,Platform,Upper One Games,Upper One Games,"Nov 20, 2014","Nov 18, 2014","Nov 18, 2014",
1683,Neverending Nightmares,Survival horror,Infinitap Games,Infinitap Games,"Sep 26, 2014","Sep 26, 2014","Sep 26, 2014",
1684,Neversong,Adventure,"Atmos Games
Serenity Forge",Serenity Forge,"Oct 21, 2020","Jul 16, 2020","Oct 31, 2019",
1685,Neverwinter Nights: Enhanced Edition,Role-playing,Beamdog,Skybound Games,Unreleased,"Dec 6, 2019","Dec 3, 2019",
1686,New Gundam Breaker,Mech-combat,Bandai Namco Entertainment,Bandai Namco Entertainment,"Jun 21, 2018","Jun 22, 2018","Jun 22, 2018",
1687,New Star Manager,Simulation,New Star Games,Insight Studios,Unreleased,"Jul 9, 2019","Jul 30, 2019",
1688,New Super Lucky's Tale,Platform,Playful Studios,Playful Studios,"Sep 28, 2020","Aug 21, 2020","Aug 21, 2020",
1689,Nex Machina,Multi-directional shooter,Housemarque,Housemarque,"Jun 20, 2017","Jun 20, 2017","Jun 20, 2017",P
1690,Next Up Hero,Action,Digital Continue,Aspyr,Unreleased,"Jun 28, 2018","Jun 28, 2018",
1691,Nexomon: Extinction,Adventure,Vewo Interactive,PQube,Unreleased,"Aug 28, 2020","Aug 28, 2020",
1692,NHL 15,Sports,EA Canada,Electronic Arts,Unreleased,"Sep 12, 2014","Sep 9, 2014",
1693,NHL 16,Sports,EA Canada,Electronic Arts,Unreleased,"Sep 17, 2015","Sep 15, 2015",
1694,NHL 17,Sports,EA Canada,Electronic Arts,"Dec 5, 2016","Sep 15, 2016","Sep 13, 2016",
