,Title,Genre,Developer,Publisher,Release date JP,Release date EU,Release date NA,Addons
2385,Summon Night 6,Simulation role-playing,Media.Vision / Felistella,Bandai Namco Entertainment,"Mar 10, 2016","Nov 15, 2017","Oct 31, 2017",
2386,The Sun and Moon,Puzzle,Daniel Linssen,Digerati,Unreleased,"Apr 27, 2016","Apr 26, 2016",
2387,Sundered,Metroidvania,Thunder Lotus Games,Thunder Lotus Games,"Aug 28, 2017","Jul 28, 2017","Jul 28, 2017",
2388,Sunless Sea: Zubmariner Edition,Roguelike,Failbetter Games,Failbetter Games,Unreleased,"Aug 28, 2018","Aug 28, 2018",
2389,Sunless Skies: Sovereign Edition,Role-playing,Failbetter Games,Digerati,Unreleased,2020,2020,
2390,Superbeat: Xonic,"Music, rhythm",PM Studios,Rising Star Games,Unreleased,"Jun 7, 2017","Jun 6, 2017",
2391,Super Blood Hockey,Sports,Loren Lemke,Digerati,Unreleased,"Jun 5, 2019","Jun 4, 2019",
2392,Super Bomberman R,"Action
puzzle",Konami,Konami,"Jun 12, 2018","Jun 12, 2018","Jun 12, 2018",
2393,Super Buckyball Tournament,Sports,Pathea Games,Pathea Games,Unreleased,TBA,TBA,
2394,Super Cane Magic Zero,Role-playing,Studio Evil,Studio Evil,"Aug 29, 2019","May 30, 2019","May 30, 2019",
2395,Super Cloudbuilt,Platform,Coilworks,Double Eleven,"Jul 25, 2017","Jul 25, 2017","Jul 25, 2017",
2396,Super Dodgeball Beats,"Music
rhythm
sports",FinalBoss Games,PlayStack,"Nov 7, 2019","Sep 12, 2019","Sep 12, 2019",
2397,Super Dungeon Bros,Action,React! Games,Wired Productions,"Jun 30, 2017","Nov 1, 2016","Nov 1, 2016",CP
2398,SuperEpic: The Entertainment War,"Action-adventure
metroidvania",Undercoders,Numskull Games,"Jun 3, 2020","Dec 12, 2019","Dec 12, 2019",
2399,Super Exploding Zoo,Puzzle,Honeyslug,Honeyslug,"Aug 5, 2015","Jun 2, 2015","Jun 2, 2015",CP
2400,Superhot,First-person shooter,Superhot Team,Superhot Team,"Jul 19, 2017","Jul 19, 2017","Jul 19, 2017",VR
2401,Superhot: Mind Control Delete,First-person shooter,Superhot Team,Superhot Team,Unreleased,"Jul 16, 2020","Jul 16, 2020",
2402,Super Hydorah,Shoot 'em up,Abylight Studios,Abylight Studios,Unreleased,"Dec 13, 2017","Dec 13, 2017",
2403,Superliminal,Puzzle,Pillow Castle,Pillow Castle,"Jul 7, 2020","Jul 7, 2020","Jul 7, 2020",
2404,Supermarket Shriek,Kart racing,Billy Goat Entertainment,PQube,Unreleased,"Oct 23, 2020","Oct 23, 2020",
2405,Super Meat Boy,Platform,Team Meat,Team Meat,Unreleased,"Oct 6, 2015","Oct 6, 2015",
2406,Super Meat Boy Forever,Platform,Team Meat,Team Meat,Unreleased,TBA,TBA,
2407,Super Mega Baseball,Sports,Metalhead Software,Metalhead Software,Unreleased,"Apr 1, 2015","Dec 16, 2014",
2408,Super Mega Baseball 2,Sports,Metalhead Software,Metalhead Software,Unreleased,"May 1, 2018","May 1, 2018",CP
2409,Super Mega Baseball 3,Sports,Metalhead Software,Metalhead Software,Unreleased,"May 13, 2020","May 13, 2020",CP
2410,Super Monkey Ball: Banana Blitz,Platform,Sega,Sega,"Oct 30, 2019","Oct 29, 2019","Oct 29, 2019",
2411,Super Motherload,"Puzzle, role-playing",XGen Studios,XGen Studios,Unreleased,"Nov 29, 2013","Nov 15, 2013",
2412,Super Mutant Alien Assault,Platform,Cybernate,Surprise Attack Games,Unreleased,"Jul 12, 2016","Jul 12, 2016",
2413,Super Neptunia RPG,Role-playing,Artisan Studios,Idea Factory,"Dec 20, 2018","Jun 25, 2019","Jun 28, 2019",
2414,Super Pixel Racers,Racing,21c Ducks,"H2 Interactive, PQube","Nov 1, 2018","Oct 31, 2018","Oct 31, 2018",P
2415,Super Robot Wars OG: The Moon Dwellers,Tactical role-playing,Bandai Namco,Bandai Namco,"Jun 30, 2016",Unreleased,Unreleased,
2416,Super Robot Wars T,Tactical role-playing,B.B. Studio,Bandai Namco,"Mar 20, 2019",Unreleased,Unreleased,
2417,Super Robot Wars V,Tactical role-playing,B.B. Studio,Bandai Namco,"Feb 23, 2017",Unreleased,Unreleased,
2418,Super Robot Wars X,Tactical role-playing,B.B. Studio,Bandai Namco,"Mar 29, 2018",Unreleased,Unreleased,CP
2419,Super Rude Bear Resurrection,Platform,Alex Rose,Alex Rose Games,Unreleased,"May 2, 2017","May 2, 2017",
2420,Super Stardust Ultra,Shoot 'em up,Housemarque,Sony Computer Entertainment,"Mar 12, 2015","Feb 11, 2015","Feb 11, 2015",3D VR
2421,Super Star Wars,Action,Code Mystics,Disney Interactive,Unreleased,"Nov 24, 2015","Nov 17, 2015",
